id,range_names,GPU Elapsed Time
1,Dispatch,72.72
2,Dispatch,7.72
3,ClearRenderTargetView,11.08
4,ClearRenderTargetView,7.76
5,ClearRenderTargetView,7.64
6,ClearDepthStencilView,15.72
7,CopyResource,638.56
8,ClearRenderTargetView,8
9,DrawIndexed,62.16
10,DrawIndexed,4.48
11,DrawIndexed,5.72
12,DrawIndexed,5.32
13,DrawIndexed,3.88
14,DrawIndexed,5.12
15,DrawIndexed,5.32
16,DrawIndexed,5.88
17,DrawIndexed,4.88
18,DrawIndexed,4.88
19,DrawIndexed,5.08
20,DrawIndexed,3.92
21,DrawIndexed,5
22,DrawIndexed,4.88
23,DrawIndexed,4.92
24,DrawIndexed,4.92
25,DrawIndexed,3.92
26,DrawIndexed,4.08
27,DrawIndexed,3.64
28,DrawIndexed,4.64
29,DrawIndexed,4.8
30,DrawIndexed,5
31,DrawIndexed,3.76
32,DrawIndexed,3.84
33,DrawIndexed,3.92
34,DrawIndexed,3.68
35,DrawIndexed,3.72
36,DrawIndexed,4.8
37,DrawIndexed,5.04
38,DrawIndexed,4.12
39,DrawIndexed,4.16
40,DrawIndexed,3.88
41,DrawIndexed,3.56
42,DrawIndexed,4.84
43,DrawIndexed,4.96
44,DrawIndexed,4.92
45,DrawIndexed,5.12
46,DrawIndexed,3.88
47,DrawIndexed,3.64
48,DrawIndexed,4.04
49,DrawIndexed,4.04
50,DrawIndexed,4.84
51,DrawIndexed,5
52,DrawIndexed,381.96
53,ClearDepthStencilView,56.92
54,ClearRenderTargetView,7.6
55,DrawIndexed,1851.8
56,DrawIndexed,148.44
57,DrawIndexed,184.4
58,DrawIndexed,217.68
59,Draw,143.84
60,DrawIndexed,29.16
61,DrawIndexed,21.16
62,DrawIndexed,41.8
63,DrawIndexed,72.88
64,CopySubresourceRegion,9.72
65,ClearDepthStencilView,10.84
66,DrawIndexed,13.76
67,DrawIndexed,10.68
68,DrawIndexed,10.48
69,DrawIndexed,10.96
70,DrawIndexed,10.04
71,DrawIndexed,25.52
72,DrawIndexed,33.36
73,DrawIndexed,6.48
74,DrawIndexed,10.84
75,DrawIndexed,14.44
76,DrawIndexed,20.96
77,DrawIndexed,27.92
78,DrawIndexed,11.84
79,DrawIndexed,11.72
80,DrawIndexed,13.96
81,DrawIndexed,14.88
82,DrawIndexed,8.56
83,DrawIndexed,10.72
84,DrawIndexed,22.28
85,DrawIndexed,16.72
86,DrawIndexed,20.32
87,DrawIndexed,54.72
88,DrawIndexed,19.52
89,DrawIndexed,13.72
90,DrawIndexed,7.56
91,DrawIndexed,7.44
92,DrawIndexed,7.28
93,DrawIndexed,7.04
94,DrawIndexed,7.72
95,DrawIndexed,7
96,DrawIndexed,7.68
97,DrawIndexed,8
98,DrawIndexed,8.48
99,DrawIndexed,7.32
100,DrawIndexed,8.36
101,DrawIndexed,20.92
102,DrawIndexed,7.84
103,DrawIndexed,7.68
104,DrawIndexed,7.68
105,DrawIndexed,9.36
106,DrawIndexed,8
107,DrawIndexed,8.04
108,DrawIndexed,7
109,DrawIndexed,7.24
110,DrawIndexed,7
111,DrawIndexed,6.92
112,DrawIndexed,6.72
113,DrawIndexed,9.24
114,DrawIndexed,6.56
115,DrawIndexed,6.92
116,DrawIndexed,7.32
117,DrawIndexed,6
118,DrawIndexed,10.2
119,DrawIndexed,6.6
120,DrawIndexed,6.92
121,DrawIndexed,7.68
122,DrawIndexed,7.12
123,DrawIndexed,6.56
124,DrawIndexed,6.96
125,DrawIndexed,6.72
126,DrawIndexed,5.52
127,DrawIndexed,7.16
128,DrawIndexed,7.56
129,DrawIndexed,50.68
130,ClearDepthStencilView,9.8
131,DrawIndexed,20
132,DrawIndexed,24.76
133,DrawIndexed,12.28
134,DrawIndexed,12.8
135,DrawIndexed,21.52
136,DrawIndexed,22.88
137,DrawIndexed,30.12
138,DrawIndexed,17.04
139,DrawIndexed,19.68
140,DrawIndexed,11.52
141,DrawIndexed,13
142,DrawIndexed,9.36
143,DrawIndexed,7.8
144,DrawIndexed,25.04
145,DrawIndexed,20.68
146,ClearRenderTargetView,7.72
147,DrawIndexed,259.6
148,ClearDepthStencilView,9.84
149,DrawIndexed,65.92
150,DrawIndexed,120.6
151,DrawIndexed,30.84
152,DrawIndexed,25.84
153,DrawIndexed,26.76
154,DrawIndexed,23.4
155,DrawIndexed,26.32
156,DrawIndexed,40.16
157,DrawIndexed,5.92
158,DrawIndexed,33.2
159,DrawIndexed,22.44
160,DrawIndexed,37.72
161,DrawIndexed,26.96
162,DrawIndexed,22.08
163,DrawIndexed,77.16
164,DrawIndexed,50.6
165,DrawIndexed,24.04
166,DrawIndexed,23.76
167,DrawIndexed,26.68
168,DrawIndexed,36.16
169,DrawIndexed,27.48
170,DrawIndexed,27.64
171,DrawIndexed,12.48
172,DrawIndexed,65.6
173,DrawIndexed,19
174,DrawIndexed,18.16
175,DrawIndexed,19.8
176,DrawIndexed,22.4
177,DrawIndexed,22.16
178,DrawIndexed,6.52
179,DrawIndexed,21.4
180,DrawIndexed,22.28
181,DrawIndexed,5.64
182,DrawIndexed,21.84
183,DrawIndexed,6.48
184,DrawIndexed,6.28
185,DrawIndexed,5.4
186,DrawIndexed,6.32
187,DrawIndexed,23
188,DrawIndexed,20.2
189,DrawIndexed,6.84
190,DrawIndexed,22.6
191,DrawIndexed,22.92
192,DrawIndexed,20.64
193,DrawIndexed,5.44
194,DrawIndexed,5.52
195,DrawIndexed,21.68
196,DrawIndexed,5.4
197,DrawIndexed,23.64
