id,range_names,Clipper Invocations,Post-Clip Primitives,CS Invocations,DS Invocations,GS Invocations,Post-GS Primitives,HS Invocations,Primitive Count,Vertex Count,VS Invocations,Pixels Rendered,PS Invocations,GPU Frequency,CS EM Pipe Active,CS FPU Pipe Active,CS Send Pipeline Active,CS Threads Dispatched,DS EM Pipe Active,DS FPU Pipe Active,DS Send Pipe Active,GPU Duration,Early Depth Test Fails,EM Pipe Active,EU Active,EU FPU And EM Pipes Active,EU Send Pipe Active,EU Stall,EU Thread Occupancy,EU FPU Pipe Active,GPU Core Clocks,GS EM Pipe Active,GS FPU Pipe Active,GS Send Pipe Active,GTI Read Throughput,GTI Write Throughput,SQ00 is full,SQ01 is full,SQ10 is full,SQ11 is full,Early Hi-Depth Test Fails,HS EM Pipe Active,HS FPU Pipe Active,HS Send Pipe Active,Non-PS Thread Ready For Dispatch on Slice0 DualSubslice0 Thread Dispatcher,Non-PS Thread Ready For Dispatch on Slice0 DualSubslice1 Thread Dispatcher,Non-PS Thread Ready For Dispatch on Slice0 DualSubslice2 Thread Dispatcher,Non-PS Thread Ready For Dispatch on Slice0 DualSubslice3 Thread Dispatcher,Non-PS Thread Ready For Dispatch on Slice0 DualSubslice4 Thread Dispatcher,Non-PS Thread Ready For Dispatch on Slice0 DualSubslice5 Thread Dispatcher,Slice0 Pipe0 Post-EarlyZ Pixel Data Ready,Slice0 Pipe0 Pixel Values Ready,Slice0 Pipe1 Pixel Values Ready,Slice0 Pipe2 Pixel Values Ready,Polygon Data Ready,PS EM Pipe Active,PS FPU Pipe Active,PS Send Pipeline Active,Slice0 Pipe0 PS Output Available,Slice0 Pipe1 PS Output Available,Slice0 Pipe2 PS Output Available,PS Thread Ready For Dispatch on Slice0 Dualsubslice0 Thread Dispatcher,PS Thread Ready For Dispatch on Slice0 Dualsubslice1 Thread Dispatcher,PS Thread Ready For Dispatch on Slice0 Dualsubslice2 Thread Dispatcher,PS Thread Ready For Dispatch on Slice0 Dualsubslice3 Thread Dispatcher,PS Thread Ready For Dispatch on Slice0 Dualsubslice4 Thread Dispatcher,PS Thread Ready For Dispatch on Slice0 Dualsubslice5 Thread Dispatcher,Rasterized Pixels,Slice0 Rasterizer Input Available,Slice0 Rasterizer Output Ready,Slice0 DualSubslice0 Input Available,Slice0 DualSubslice0 Sampler Output Ready,Slice0 DualSubslice1 Input Available,Slice0 DualSubslice1 Sampler Output Ready,Slice0 DualSubslice2 Input Available,Slice0 DualSubslice2 Sampler Output Ready,Slice0 DualSubslice3 Input Available,Slice0 DualSubslice3 Sampler Output Ready,Slice0 DualSubslice4 Input Available,Slice0 DualSubslice4 Sampler Output Ready,Slice0 DualSubslice5 Input Available,Slice0 DualSubslice5 Sampler Output Ready,Samplers Bottleneck,Sampler Texels,Samplers Busy,Samples Blended,Samples Killed in PS,Samples Written,Thread Header Ready on Slice0 DualSubslice0 Thread Dispatcher,Thread Header Ready on Slice0 DualSubslice0 Thread Dispatcher Port 0,Thread Header Ready on Slice0 DualSubslice0 Thread Dispatcher Port 1,Thread Header Ready on Slice0 DualSubslice0 Thread Dispatcher Port 2,Thread Header Ready on Slice0 DualSubslice0 Thread Dispatcher Port 3,Thread Header Ready on Slice0 DualSubslice1 Thread Dispatcher,Thread Header Ready on Slice0 DualSubslice1 Thread Dispatcher Port 0,Thread Header Ready on Slice0 DualSubslice1 Thread Dispatcher Port 1,Thread Header Ready on Slice0 DualSubslice1 Thread Dispatcher Port 2,Thread Header Ready on Slice0 DualSubslice1 Thread Dispatcher Port 3,Thread Header Ready on Slice0 DualSubslice2 Thread Dispatcher,Thread Header Ready on Slice0 DualSubslice2 Thread Dispatcher Port 0,Thread Header Ready on Slice0 DualSubslice2 Thread Dispatcher Port 1,Thread Header Ready on Slice0 DualSubslice2 Thread Dispatcher Port 2,Thread Header Ready on Slice0 DualSubslice2 Thread Dispatcher Port 3,Thread Header Ready on Slice0 DualSubslice3 Thread Dispatcher,Thread Header Ready on Slice0 DualSubslice3 Thread Dispatcher Port 0,Thread Header Ready on Slice0 DualSubslice3 Thread Dispatcher Port 1,Thread Header Ready on Slice0 DualSubslice3 Thread Dispatcher Port 2,Thread Header Ready on Slice0 DualSubslice3 Thread Dispatcher Port 3,Thread Header Ready on Slice0 DualSubslice4 Thread Dispatcher,Thread Header Ready on Slice0 DualSubslice4 Thread Dispatcher Port 0,Thread Header Ready on Slice0 DualSubslice4 Thread Dispatcher Port 1,Thread Header Ready on Slice0 DualSubslice4 Thread Dispatcher Port 2,Thread Header Ready on Slice0 DualSubslice4 Thread Dispatcher Port 3,Thread Header Ready on Slice0 DualSubslice5 Thread Dispatcher,Thread Header Ready on Slice0 DualSubslice5 Thread Dispatcher Port 0,Thread Header Ready on Slice0 DualSubslice5 Thread Dispatcher Port 1,Thread Header Ready on Slice0 DualSubslice5 Thread Dispatcher Port 2,Thread Header Ready on Slice0 DualSubslice5 Thread Dispatcher Port 3,VS EM Pipe Active,VS FPU Pipe Active,VS Send Pipe Active
1,Dispatch,0,0,18944,0,0,0,0,0,0,0,0,0,1299,0,1.48585,0.543085,592,0,0,0,46,0,0,4.09626,0,1.14598,86.3078,79.1482,3.1739,58858,0,0,0,1.72698e+06,41536,0,0,0,0,0,0,0,0,0.753443,0.767659,0.668148,0.710795,0.653932,0.653932,0.0070456,0,0,0,0.00515112,0,0,0,0.0070456,0.0070456,0.0070456,0,0,0,0,0,0,0,0.0070456,0.0070456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.9392,0,0,0,0.753443,0.184807,0.184807,0.191915,0.191915,0.767659,0.191915,0.191915,0.191915,0.191915,0.685429,0.171357,0.178808,0.171357,0.163907,0.879137,0.216059,0.223509,0.223509,0.216059,0.730131,0.186258,0.186258,0.178808,0.178808,0.737327,0.18781,0.180854,0.18781,0.180854,0,0,0
2,Dispatch,0,0,1920,0,0,0,0,0,0,0,0,0,1297,0,0.507488,0.185435,60,0,0,0,8,0,0,2.15364,0,0.585458,52.56,11.4598,1.63934,11290,0,0,0,182080,41856,0,0,0,0,0,0,0,0,0.28291,0.28291,0.212183,0.565821,0.424366,0.353638,0.0347675,0,0,0,0.0309909,0,0,0,0.0347675,0.0347675,0.0347675,0,0,0,0,0,0,0,0.0347675,0.0347675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.15678,0,0,0,0.28291,0.0707276,0.0707276,0.0707276,0.0707276,0.28291,0.0707276,0.0707276,0.0707276,0.0707276,0.201157,0.0335261,0.0670522,0.0335261,0.0670522,0.536418,0.134104,0.134104,0.134104,0.134104,0.402313,0.100578,0.100578,0.100578,0.100578,0.355145,0.106544,0.071029,0.106544,0.071029,0,0,0
3,ClearRenderTargetView,0,0,0,0,0,0,0,0,0,0,0,0,1298,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,14063,0,0,0,5376,8704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199769,0,0,0,0.0587199,0,0,0,1.97666,1.61918,1.89255,0,0,0,0,0,0,2040,0.168226,0.157712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,ClearRenderTargetView,0,0,0,0,0,0,0,0,0,0,0,0,1299,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,7481,0,0,0,3968,32320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0889108,0,0,0,0.0624142,0,0,0,0.928624,0.760682,0.889108,0,0,0,0,0,0,2040,0.0740924,0.0691529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,ClearRenderTargetView,0,0,0,0,0,0,0,0,0,0,0,0,1301,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,8067,0,0,0,3904,33408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232929,0,0,0,0.0713606,0,0,0,2.31703,1.90021,2.21895,0,0,0,0,0,0,2040,0.196151,0.183891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,ClearDepthStencilView,0,0,0,0,0,0,0,0,0,0,0,0,1298,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,48443,0,0,0,37312,145472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0167771,0,0,0,0.0161819,0,0,0,0.01468,0.01468,0.01468,0,0,0,0,0,0,2.0736e+06,93.8365,93.8407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,CopyResource,0,0,0,0,0,0,0,0,0,0,0,0,1299,0,1.46309e-05,0,0,0,0,0,209,0,0,46.8125,0,17.9782,43.9847,75.5933,38.1316,250181,0,0,0,106048,3.07309e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.2284,71.5572,71.5572,71.5572,0.00279382,0,38.2037,16.5779,71.5593,71.5593,71.5593,84.7897,86.3653,84.513,85.9625,85.2021,86.006,4.1472e+06,87.81,82.8594,52.1465,0,52.5131,0,51.4433,0,52.0885,0,51.89,0,51.896,0,2.64568,4.1472e+06,89.9705,0,0,4.1472e+06,78.4323,36.0168,36.0102,36.2376,36.2309,78.411,35.9366,35.9165,36.3313,36.3112,77.794,35.6079,35.588,36.079,36.0325,78.0677,35.6477,35.6278,36.0192,36.0126,78.0262,35.6212,35.588,36.0856,36.0126,78.507,35.9747,35.9279,36.2755,36.2287,0,0,0
8,ClearRenderTargetView,0,0,0,0,0,0,0,0,0,0,0,0,1300,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,11094,0,0,0,5952,33280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250964,0,0,0,0.0440878,0,0,0,3.33423,3.15497,2.7606,0,0,0,0,0,0,4080,0.224075,0.215112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,DrawIndexed,2,2,0,0,0,0,0,2,6,4,0,0,1299,0,0,0,0,0,0,0,39,25920,0,0.00524412,0,0.00218044,0.0591621,0.00454663,0.00486722,69125,0,0,0,16000,403776,0,0,0,0,0,0,0,0,0.0116668,0,0,0,0,0,0.0194496,0,0,0,0.0145009,0,0.000161514,0,0.0116697,0.0116697,0.0116697,0,0,0,0,0,0,4.15008e+06,93.4397,93.4961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0116668,0,0.0058334,0.0058334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00468392,0.00159538
10,DrawIndexed,12,0,0,0,0,0,0,12,36,24,0,0,1298,0,0,0,0,0,0,0,2,0,0,0.166488,0,0.0533681,0.717621,0.102791,0.101543,3266,0,0,0,2944,1216,0,0,0,0,0,0,0,0,0.187559,0.187559,0,0,0,0,0.0536913,0,0,0,0.0629129,0,0.00263546,0,0.0268456,0.0268456,0.0268456,0,0,0,0,0,0,0,0.0536913,0.0536913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187559,0,0,0,0.187559,0.187559,0.0937793,0,0.0937793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11596,0.0202922
